"Input Name","Type","Unit","Default","Source"
"Lifetime Lower/Upper","Integer","Weeks","• Oil: 936/1144 • Gas: 936/1144 • HeatPump: 936/1352 • HPB: 1144/1560 • Pellet: 1144/1560 • DistrictNetwork: 1352/1872 • LocalNetwork: 1144/1560","heating_parameters.csv"
"Installation Time","Integer","Weeks","• O, G, HP, DN, LN: 1 • HPB, P: 2","heating_parameters.csv"
"Operation Effort","Integer","Hours/year","• O, G: 10 • HP, HPB: 5 • P: 20 • DN, LN: 0","heating_parameters.csv"
"Fuel Cost","Float","EUR/kWh","• O: 0.1324 • G: 0.1073 • HP, HPB: 0.1246 • P: 0.081 • DN, LN: 0.1075","heating_parameters.csv"
"Emissions","Integer","gCO?eq/kWh","• O: 310 • G: 240 • HP, HPB: 560 • P: 40 • DN, LN: 120","heating_parameters.csv"
"Price","Float","EUR","• O: 1202.6 • G: 905.26 • HP: 2314 • HPB: 5576.4 • P: 4333.6 • DN, LN: 694.4","heating_parameters.csv"
"Factor Area","Float","Dimensionless","• O: -0.536 • G: -0.518 • HP: -0.58 • HPB: -0.66 • P: -0.63 • DN, LN: -0.51","heating_parameters.csv"
"Installation Effort","Integer","Hours","• O: 24 • G: 30 • HP: 20 • HPB, P: 32 • DN, LN: 16","heating_parameters.csv"
"Factor OPEX","Float","Dimensionless","• O: 0.035 • G, P: 0.03 • HP: 0.025 • HPB, DN, LN: 0.02","heating_parameters.csv"
"Factor Energy","List (String)","Dimensionless","Varies by system type (see CSV for specific lists)","heating_parameters.csv"
"Factor Oppendorf","Float","Dimensionless","• DN, LN: 1 • All Others: 1.004","heating_parameters.csv"
"Price Index","Float","Dimensionless","1.613 (for all systems)","heating_parameters.csv"
"Sidecosts Index","Float","Dimensionless","1.15 (for all systems)","heating_parameters.csv"
"Heat Load Price","Float","EUR","• O, G: 3304.8 • HP: 3891.5 • HPB: 4515.6 • P: 4004.9 • DN, LN: 2439.4","heating_parameters.csv"
"Heat Load Factor","Float","Dimensionless","• O, G: -0.673 • HP: -0.475 • HPB: -0.46 • P: -0.449 • DN, LN: -0.53","heating_parameters.csv"
"Heat Load Correction","Integer","Dimensionless","1 (for all systems)","heating_parameters.csv"
"Age Min/Max/Mean/SD","Integer/Float","Year","• O: 1995/13.37 • G: 2007/10.74 • HP: 2014/5.24 • HPB: 2016/4.31 • P: 2015/5.09 • DN, LN: 2013/7.91","heating_parameters.csv"
"Availability","Integer","Year","2000 (for all systems)","heating_parameters.csv"
"Power","String","kW","""None"" (for all systems)","heating_parameters.csv"
"Contract","Integer (Boolean)","Flag (0/1)","• DN, LN: 1 • All Others: 0","heating_parameters.csv"
"Heat Delivery","Integer (Boolean)","Flag (0/1)","• DN, LN: 1 • All Others: 0","heating_parameters.csv"
"EN Price Reduction","Integer (Boolean)","Flag (0/1)","0 (for all systems)","heating_parameters.csv"
"pref_effort_a","Float","Beta Dist. (?)","Generalized: 1.2576 • Leading: 1.6 • Mainstream: 1.4432 • Traditionals: 1.1314 • Hedonists: 0.8127","milieu_parameters.csv"
"pref_effort_b","Float","Beta Dist. (?)","G: 0.1642 • L: 0.1778 • M: 0.1968 • T: 0.44 • H: 0.0428","milieu_parameters.csv"
"pref_fuel_cost_a","Float","Beta Dist. (?)","G: 1.0422 • L: 1.9028 • M: 2.5136 • T: 1.9855 • H: 0.8127","milieu_parameters.csv"
"pref_fuel_cost_b","Float","Beta Dist. (?)","G: 0.1564 • L: 0.2114 • M: 0.3107 • T: 0.56 • H: 0.0428","milieu_parameters.csv"
"pref_emissions_a","Float","Beta Dist. (?)","G: 0.9783 • L: 1.5897 • M: 1.8605 • T: 0.4519 • H: 0.2822","milieu_parameters.csv"
"pref_emissions_b","Float","Beta Dist. (?)","G: 0.1925 • L: 0.3256 • M: 0.5875 • T: 0.3012 • H: 0.0843","milieu_parameters.csv"
"pref_price_a","Float","Beta Dist. (?)","G: 1.0422 • L: 1.9028 • M: 2.5136 • T: 1.9855 • H: 0.8127","milieu_parameters.csv"
"pref_price_b","Float","Beta Dist. (?)","G: 0.1564 • L: 0.2114 • M: 0.3107 • T: 0.56 • H: 0.0428","milieu_parameters.csv"
"pref_source_internet","Float","Dimensionless","G: 1 • L: 3.37 • M: 1.21 • T: 1.7 • H: 3.45","milieu_parameters.csv"
"pref_source_magazine","Float","Dimensionless","G: 1 • L: 1.76 • M: 1.31 • T: 1.2 • H: 2.18","milieu_parameters.csv"
"pref_source_plumber","Float","Dimensionless","G: 1 • L: 2.2 • M: 1.97 • T: 1.9 • H: 2.27","milieu_parameters.csv"
"pref_source_neighbour","Float","Dimensionless","G: 1 • L: 2.58 • M: 2.24 • T: 1.8 • H: 2.64","milieu_parameters.csv"
"pref_source_energy_advisor","Float","Dimensionless","G: 1 • L: 1.46 • M: 1.33 • T: 1.4 • H: 1.64","milieu_parameters.csv"
"s_operation_effort","Integer","Hours/year","G: 10 • L: 5 • M: 10 • T: 10 • H: 5","milieu_parameters.csv"
"s_fuel_cost","Float","EUR/year","G: 5000 • L: 3000 • M: 2500 • T: 2500 • H: 2500","milieu_parameters.csv"
"s_emissions","Integer","gCO?eq/kWh","G: 10000 • L: 5000 • M: 10000 • T: 10000 • H: 5000","milieu_parameters.csv"
"s_lifetime","Integer","Weeks","G: 104 • L: 208 • M: 156 • T: 104 • H: 0","milieu_parameters.csv"
"tpb_attitude","Float","Dimensionless","G: 1 • L: 0.8 • M: 0.6 • T: 0.5 • H: 0.9","milieu_parameters.csv"
"tpb_social","Float","Dimensionless","G: 1 • L: 0.5 • M: 0.7 • T: 0.6 • H: 0.4","milieu_parameters.csv"
"tpb_control","Float","Dimensionless","G: 1 • L: 0.9 • M: 1 • T: 1 • H: 0.8","milieu_parameters.csv"
"ra_exposure_leading","Float","Dimensionless","G: 1 • L: 0.74 • M: 0.83 • T: 0.75 • H: 0.78","milieu_parameters.csv"
"ra_exposure_mainstream","Float","Dimensionless","G: 1 • L: 0.83 • M: 0.73 • T: 0.76 • H: 0.65","milieu_parameters.csv"
"ra_exposure_traditionals","Float","Dimensionless","G: 1 • L: 0.73 • M: 0.83 • T: 0.74 • H: 0.75","milieu_parameters.csv"
"ra_exposure_hedonists","Float","Dimensionless","G: 1 • L: 0.83 • M: 0.37 • T: 0.28 • H: 0.8","milieu_parameters.csv"
"Fuel Cost Dynamics","Time-series schedule","EUR/kWh","Full schedule from file","heating_params_dynamics.csv"
"Emissions Dynamics","Time-series schedule","gCO?eq/kWh","Full schedule from file","heating_params_dynamics.csv"
"current_scenario","String","-","""Scenario_heat_pumps""","settings.toml"
"project","String","-","""AHOI""","settings.toml"
"run_id","String","-","""0""","settings.toml"
"task","String","-","""""","settings.toml"
"start_year","Integer","Year",2025,"settings.toml"
"end_year","Integer","Year",2045,"settings.toml"
"number_of_plumbers","Integer","-",5,"settings.toml"
"number_of_energy_advisors","Integer","-",5,"settings.toml"
"steps","Integer","Weeks",1040,"settings.toml"
"serialization_function","String","-","""to_excel""","settings.toml"
"files_prefix","String","-","""""","settings.toml"
"input_path","String","Path","""./data/input/""","settings.toml"
"output_path","String","Path","""./src/data/output""","settings.toml"
"excel_scenario_file","String","Path","""settings/settings.xlsx""","settings.toml"
"config_id_start","Integer","-",0,"settings.toml"
"config_id_end","Integer","-",0,"settings.toml"
"plumber_training","Boolean","-","FALSE","settings.toml"
"plumber_training_system","String","-","""Heating_system_heat_pump_brine""","settings.toml"
"information_campaign","Boolean","-","FALSE","settings.toml"
"inf_campaign_systems","List","-","[]","settings.toml"
"inf_campaign_duration","List","Weeks","[]","settings.toml"
"inf_campaign_reach","Integer","Agents",0,"settings.toml"
"inf_campaign_mode","String","-","""Risk_targeting""","settings.toml"
"inf_campaign_risk_mitigation","Float","Dimensionless",0,"settings.toml"
"enforcement","Boolean","-","FALSE","settings.toml"
"enforcement_systems","List","-","[]","settings.toml"
"replacement_mandates","Boolean","-","FALSE","settings.toml"
"emissions_mandate","Integer","kg CO?/year",1000000000,"settings.toml"
"systems_mandate","List","-","[]","settings.toml"
"dynamic","Boolean","-","TRUE","settings.toml"
"heat_demand","String","-","""eqcity""","settings.toml"
"milieu_params","String","Filename","""milieu_parameters.csv""","settings.toml"
"heat_sys_params","String","Filename","""heating_parameters.csv""","settings.toml"
"heat_sys_params_dynamics","String","Filename","""heating_params_dynamics.csv""","settings.toml"
"plt_settings","String","Path","""plotting/config_plt_unik.yaml""","settings.toml"
"ownership_change_probability","Float","Probability",1,"settings.toml"
"aspiration","Integer","-",1,"settings.toml"
"overload","Integer","-",2,"settings.toml"
"budget_limit","Integer","Weeks of Income",104,"settings.toml"
"risk_tolerance_std","Float","Dimensionless","0.19","settings.toml"
"random_risk_tolerance","Boolean","-","TRUE","settings.toml"
"loan_taking_probability","Float","Probability","0.32","settings.toml"
"tpb_weights_std","List","-","[]","settings.toml"
"district","Float","Rate","0.3","settings.toml"
"heat_pump","Float","Rate","0.3","settings.toml"
"heat_pump_brine","Float","Rate","0.3","settings.toml"
"pellet","Float","Rate","0.3","settings.toml"
"network_local_hot","Float","Rate","0.3","settings.toml"
"GP_Joule","Float","Rate","0.3","settings.toml"
"climate_speed","Float","Rate","0.2","settings.toml"
"income","Float","Rate","0.3","settings.toml"
"efficiency","Float","Rate","0.05","settings.toml"
"Mean Savings","Integer","EUR/week","• Leading: 178 • Mainstream: 142 • Traditionals: 158 • Hedonists: 158","settings.toml [houseowner.*]"
"Savings St. Dev.","Integer","EUR/week","• Leading: 66 • Mainstream: 62 • Traditionals: 69 • Hedonists: 58","settings.toml [houseowner.*]"
"Risk Tolerance","Float","Dimensionless [0,1]","• Leading: 1.0 • Mainstream: 0.7 • Traditionals: 0.5 • Hedonists: 0.6","settings.toml [houseowner.*]"
"Cognitive Resource","Integer","Points/step","• Leading: 5 • Mainstream: 3 • Traditionals: 4 • Hedonists: 2","settings.toml [houseowner.*]"
