"Entity","Variable Name","Type and unit","Scale","Meaning ","Name in code"
"Houseowner","Unique ID","String","Nominal","A unique identifier for the agent.","unique_id"
"Houseowner","House","House (Agent)","Nominal","The House agent associated with the houseowner.","house"
"Houseowner","Geometry","Shapely Polygon","Spatial","The geographic location of the agent, used for social network generation.","geometry"
"Houseowner","CRS","String","Nominal","The coordinate reference system for the agent's geometry.","crs"
"Houseowner","Income","Integer (€/step)","Ratio","The amount of income the agent receives at each step, added to the budget.","income"
"Houseowner","Heating System Budget","Float (€)","Ratio","The amount of money the houseowner has available to spend on a heating system.","hs_budget"
"Houseowner","Budget Limit","Float (€)","Ratio","The maximum amount the agent is willing or able to invest in a heating system.","budget_limit"
"Houseowner","Milieu","Milieu (Object)","Nominal","The agent's socio-cognitive profile, containing preferences and weights.","milieu_data"
"Houseowner","Heating Preferences","Heating_preferences (Object)","Nominal","The agent's specific preferences for different heating system attributes.","heating_preferences"
"Houseowner","Source Preferences","Information_source_preferences (Object)","Nominal","The agent's preferences for different types of information sources.","source_preferences"
"Houseowner","Personal Standard","Personal_standard (Object)","Nominal","Thresholds defining which heating systems are personally acceptable to the agent.","standard"
"Houseowner","Aspiration Value","Integer (options)","Ratio","The number of options an agent needs to feel satisfied with their information search.","aspiration_value"
"Houseowner","Cognitive Resource","Integer (points)","Ratio","The amount of effort the agent can allocate to decision-making in a step.","cognitive_resource"
"Houseowner","Cognitive Overload Threshold","Float","Ratio","The threshold at which the agent experiences cognitive overload.","overload_value"
"Houseowner","TPB Weights","Tuple of Floats","Interval","Weights for Theory of Planned Behaviour components (attitude, social norm, PBC).","tpb_weights"
"Houseowner","RA Exposure","Dictionary","Ratio","Exposure values to other milieus, used for the relative agreement model.","ra_exposure"
"Houseowner","Risk Tolerance","Float","Ratio","A value representing how risk-tolerant the agent is.","risk_tolerance"
"Houseowner","Perceived Uncertainty","Dictionary","Ratio","The agent's perceived uncertainty for different heating system technologies.","perceived_uncertainty"
"Houseowner","Current Stage","String","Nominal","The agent's current stage in the decision-making process (e.g., ""Awareness"").","current_stage"
"Houseowner","Current Breakpoint","String","Nominal","The specific point within a stage the agent is at.","current_breakpoint"
"Houseowner","Satisfaction","String","Nominal","The agent's satisfaction level with their current heating system.","satisfaction"
"Houseowner","Active Trigger","Trigger (Object)","Nominal","The event that initiated the current decision-making process.","active_trigger"
"Houseowner","Stage History","String","Nominal","A record of all decision-making stages the agent has passed through.","stage_history"
"Houseowner","Loan Taking Willingness","Boolean","Nominal","Indicates if the agent would consider taking a loan for a new system.","loan_taking"
"Houseowner","Known Heating Systems","List of Objects","Nominal","Heating systems the agent is aware of.","known_hs"
"Houseowner","Suitable Heating Systems","List of Objects","Nominal","A subset of known systems that meet the agent's personal standard.","suitable_hs"
"Houseowner","Desired Heating System","Heating_system (Object)","Nominal","The heating system the agent currently desires to install.","desired_hs"
"Houseowner","Recommended Heating System","Heating_system (Object)","Nominal","A system recommended by an intermediary like a plumber or advisor.","recommended_hs"
"Houseowner","Infeasible Systems","List of Strings","Nominal","Heating systems that are technically not feasible for the agent's house.","infeasible"
"Houseowner","Known Subsidies","Dictionary","Nominal","Maps heating systems to subsidies the agent is aware of.","known_subsidies_by_hs"
"Houseowner","Subsidy Curiosity","Boolean","Nominal","Indicates if the agent is actively interested in learning about subsidies.","subsidy_curious"
"Houseowner","Neighbours' Systems","Dictionary","Nominal","A dictionary of known heating systems installed by neighbours.","neighbours_systems"
"Houseowner","Neighbours' Satisfaction","Dictionary","Interval","A dictionary mapping neighbours to their satisfaction with their heating systems.","neighbours_satisfaction"
"Houseowner","Visited Neighbours","Set","Nominal","A set of neighbours the agent has already contacted for information.","visited_neighbours"
"Houseowner","Plumber","String (ID)","Nominal","The identifier for the plumber agent assigned for consultation or installation.","plumber"
"Houseowner","Unqualified Plumbers","List of Strings","Nominal","A list of plumbers the agent will not contact again.","unqualified_plumbers"
"Houseowner","Energy Advisor","Agent (Object)","Nominal","A reference to the assigned energy advisor agent.","energy_advisor"
"Houseowner","Consultation Ordered","Boolean","Nominal","A flag indicating if a consultation has been ordered.","consultation_ordered"
"Houseowner","Consulted by Advisor","Boolean","Nominal","A flag indicating if the agent has been consulted by an energy advisor.","consulted_by_energy_advisor"
"Houseowner","Installation Ordered","Boolean","Nominal","A flag indicating if a system installation has been ordered.","installation_ordered"
"Houseowner","Waiting Time","Integer (steps)","Ratio","A counter for how long the agent has been waiting for an installation.","waiting"
"Houseowner","Installed Once","Boolean","Nominal","A flag indicating if the agent has replaced their system at least once.","installed_once"
"Houseowner","Attribute Ratings","Dictionary","Interval","Accumulated satisfaction scores for each system parameter.","attribute_ratings"
"Houseowner","Comprehensive Metrics","Dictionary","Ratio","Attribute-wise evaluations of heating systems.","comprehensive_metrics"
"Houseowner","TPB Evaluation Factors","Dictionary","Interval","Collects values related to TPB factors for data reporting.","evaluation_factors"
"Houseowner","Trigger to Report","Trigger (Object)","Nominal","The trigger instance that will be reported to the data collector.","trigger_to_report"
"Houseowner","Weekly Expenses","Float (€)","Ratio","The combined weekly operational and fuel costs.","weekly_expenses"
"Energy Advisor","Unique ID","Integer","Nominal","A unique identifier for the agent.","unique_id"
"Energy Advisor","Heating Preferences","Heating_preferences (Object)","Nominal","The preferences and weights used by the advisor to evaluate heating systems.","heating_preferences"
"Energy Advisor","Known Heating Systems","List of Objects","Nominal","A list of heating systems the advisor is knowledgeable about.","known_hs"
"Energy Advisor","Known Subsidies","List of Objects","Nominal","A list of financial subsidies the advisor is aware of.","known_subsidies"
"Energy Advisor","Known Subsidies by HS","Dictionary","Nominal","Known subsidies, organized by the heating systems they apply to.","known_subsidies_by_hs"
"Energy Advisor","Infeasible Systems","List of Strings","Nominal","A list of heating system names that the advisor considers technically infeasible.","infeasible"
"Energy Advisor","Perceived Uncertainty","Dictionary","Ratio","A mapping of heating system types to the advisor's perceived uncertainty values.","perceived_uncertainty"
"Energy Advisor","Offered Services","List of Objects","Nominal","A list of service objects (e.g., Consultation) the advisor offers.","Services"
"Energy Advisor","Active Jobs","Dictionary","Nominal","A dictionary of jobs the advisor is currently performing.","active_jobs"
"Energy Advisor","Completed Jobs","Dictionary","Nominal","A record of jobs that the advisor has completed.","completed_jobs"
"Energy Advisor","Max Concurrent Jobs","Integer","Ratio","The maximum number of jobs the advisor can handle simultaneously.","max_concurrent_jobs"
"Energy Advisor","Active Jobs Counter","Integer","Ratio","The current number of active jobs.","active_jobs_counter"
"Energy Advisor","Evaluation Parameters","List of Strings","Nominal","The list of attributes the advisor considers when evaluating a heating system.","hs_evaluation_params"
"Energy Advisor","Steps Since Training","Integer (steps)","Ratio","The number of simulation steps that have passed since the advisor's last training.","steps_after_training"
"Plumber","Unique ID","Integer","Nominal","A unique identifier for the agent.","unique_id"
"Plumber","Heating Preferences","Heating_preferences (Object)","Nominal","The preferences and weights used by the plumber to evaluate heating systems.","heating_preferences"
"Plumber","Known Heating Systems","List of Objects","Nominal","A list of heating systems the plumber is knowledgeable about and can install.","known_hs"
"Plumber","Known Subsidies","List of Objects","Nominal","A list of financial subsidies the plumber is aware of.","known_subsidies"
"Plumber","Known Subsidies by HS","Dictionary","Nominal","Known subsidies, organized by the heating systems they apply to.","known_subsidies_by_hs"
"Plumber","Infeasible Systems","List of Strings","Nominal","A list of heating systems the plumber has identified as technically infeasible for a client.","infeasible"
"Plumber","Clients' Systems","Dictionary","Nominal","A record of heating systems installed for previous clients.","clients_systems"
"Plumber","Offered Services","List of Objects","Nominal","A list of services the plumber offers (e.g., Consultation, Installation).","Services"
"Plumber","Consultation Power","Integer","Ratio","The plumber's capacity to process consultation jobs per step.","consultation_power"
"Plumber","Installation Power","Integer","Ratio","The plumber's capacity to process installation jobs per step.","installation_power"
"Plumber","Steps Since Training","Integer (steps)","Ratio","The number of simulation steps that have passed since the plumber's last training.","steps_after_training"
"Plumber","Active Jobs","Dictionary","Nominal","A dictionary of jobs the plumber is currently performing.","active_jobs"
"Plumber","Completed Jobs","Dictionary","Nominal","A record of jobs that the plumber has completed.","completed_jobs"
"Plumber","Max Concurrent Jobs","Integer","Ratio","The maximum number of jobs the plumber can handle simultaneously.","max_concurrent_jobs"
"Plumber","Active Jobs Counter","Integer","Ratio","The current number of active jobs.","active_jobs_counter"
"Plumber","Personal Standard","Personal_standard (Object)","Nominal","An agent's personal thresholds for decision-making.","standard"
"Plumber","Current Heating","Heating_system (Object)","Nominal","The heating system currently in use.","current_heating"
"Plumber","Cognitive Resource","Integer (points)","Ratio","The amount of effort an agent can allocate to decision-making.","cognitive_resource"
"Plumber","Aspiration Value","Integer","Ratio","An agent's threshold for feeling satisfied with an information search.","aspiration_value"
"Plumber","Suitable Heating Systems","List of Objects","Nominal","A subset of known systems that meet an agent's personal standard.","suitable_hs"
"Plumber","Desired Heating System","Heating_system (Object)","Nominal","The heating system an agent currently desires to install.","desired_hs"
"Plumber","Heating System Budget","Float (€)","Ratio","The amount of money an agent has available for a heating system.","hs_budget"
"Plumber","Current Breakpoint","String","Nominal","An agent's specific point within a decision-making stage.","current_breakpoint"
"Plumber","Current Stage","String","Nominal","An agent's current stage in the decision-making process.","current_stage"
"Plumber","Satisfaction","String","Nominal","An agent's satisfaction level with their current heating system.","satisfaction"
"Plumber","Active Trigger","Trigger (Object)","Nominal","The event that initiated an agent's decision-making process.","active_trigger"
"House","Unique ID","Integer","Nominal","A unique identifier for the house.","unique_id"
"House","Geometry","Shapely Polygon","Spatial","A polygon representing the house's geographical footprint.","geometry"
"House","CRS","String / pyproj.CRS","Nominal","The coordinate reference system of the geometry.","crs"
"House","Milieu","Milieu (Enum/Object)","Nominal","The socio-economic milieu associated with the house's owner.","milieu"
"House","Construction Year","Integer (year)","Interval","The year the house was built.","year"
"House","Area","Float ($m^2$)","Ratio","The living area of the house in square meters.","area"
"House","Energy Demand","Float ($kWh/sq.m/year$)","Ratio","The annual energy demand for heating per squared meter.","energy_demand"
"House","Current Heating","Heating_system (Object)","Nominal","The heating system currently installed in the house.","current_heating"
"House","Houseowner","Houseowner (Agent)","Nominal","The agent who owns and lives in the house.","houseowner"
"House","Subarea","String","Nominal","The name of the geographical subarea where the house is located.","subarea"
"House","Heat Load","Float ($kW$)","Ratio","The heating load of the house.","heat_load"
"Heating System","Unique ID","UUID","Nominal","A unique identifier for the system instance.","unique_id"
"Heating System","Parameters Table","Pandas Series","Nominal","The row from the main parameters table corresponding to the system type.","table"
"Heating System","System Age","Integer (weeks)","Ratio","The number of weeks since the system was installed.","age"
"Heating System","Breakdown Status","Boolean","Nominal","A flag indicating if the system has broken down (True) or not (False).","breakdown"
"Heating System","Remaining Investment","Float (€)","Ratio","The remaining investment cost to be paid back.","investment"
"Heating System","Payback Period","Float (years)","Ratio","The calculated payback time for the investment.","payback"
"Heating System","Subsidy Status","Boolean","Nominal","A flag indicating if the investment was subsidised.","subsidised"
"Heating System","Loan","Float (€)","Ratio","The amount of loan taken for the investment.","loan"
"Heating System","Total Energy Demand","Float (kWh)","Ratio","The house- and system-specific total energy demand.","total_energy_demand"
"Heating System","Power","Float (kW)","Ratio","The power output of the heating system.","power"
"Heating System","Availability","Boolean / Object","Nominal","The availability status of the heating system technology.","availability"
"Heating System","Fuel Price Contract Term","Integer (years)","Ratio","The duration of the contract for the fuel price.","fuel_price_contract_term"
"Heating System","Heat Delivery Contract","Object","Nominal","Represents the contract for heat delivery (e.g., for district heating).","heat_delivery_contract"
"Heating System","TPB: Attitude Rating","Float","Interval","An agent's calculated attitude (rating) towards this system.","rating"
"Heating System","TPB: Neighbours' Opinions","Dictionary","Nominal","A collection of opinions from neighbouring agents about the system.","neighbours_opinions"
"Heating System","TPB: Social Norm","Float","Interval","The perceived social pressure or norm regarding the system.","social_norm"
"Heating System","TPB: Perceived Behavioural Control","Float","Interval","The agent's perception of their ability to install and operate the system.","behavioural_control"
"Heating System","Rating Parameters","Dictionary","Ratio","Core parameters (e.g., cost, emissions), each with a point value and an uncertainty.","params"
"Heating System","Riskiness","Float","Ratio","A calculated score [0, 1] representing the perceived riskiness of installation.","riskiness"
"Heating System","Uncertainty Factors","Dictionary","Nominal","A mapping of heating system types to their associated uncertainty factors.","uncertainty_factors"
"Information Source","Search Cost","Integer (cognitive points)","Ratio","The cognitive resource cost for an agent to perform one search action.","cost"
"Information Source","Distortion Factor","Float (unitless)","Ratio","The base factor used for distorting a heating system's true parameters.","distortion"
"Information Source","Uncertainty Lower Bound","Float (unitless)","Ratio","The lower bound for the uncertainty range applied to parameters.","uncertainty_lower"
"Information Source","Uncertainty Upper Bound","Float (unitless)","Ratio","The upper bound for the uncertainty range applied to parameters.","uncertainty_upper"
"Information Source","Information Content","List of Strings","Nominal","A list of heating system names that this source can provide information on.","content"
"Information Source","Known Subsidies","Dictionary","Nominal","Stores information about subsidies for specific heating systems known by this source.","known_subsidies_by_hs"
"Information Source","System Skewedness","Dictionary","Interval","The inherent positive or negative bias of the source towards specific heating system types.","system_skewedness"
"Milieu","Unique ID","UUID","Nominal","A unique identifier for the milieu instance.","unique_id"
"Milieu","Milieu Type","String","Nominal","The name of the specific socio-cognitive profile (e.g., ""Mainstream"").","milieu_type"
"Milieu","Heating Preferences","Heating_preferences (Object)","Nominal","An object containing the agent's preferences for various heating system attributes.","heating_preferences"
"Milieu","Source Preferences","Information_source_preferences (Object)","Nominal","An object containing the agent's preferences for different types of information sources.","source_preferences"
"Milieu","Personal Standard","Personal_standard (Object)","Nominal","An object that defines the agent's personal thresholds for decision-making.","standard"
"Milieu","TPB Weights","Tuple of Floats","Interval","The weights for attitude, social norm, and perceived behavioural control in the Theory of Planned Behaviour model.","tpb_weights"
"Milieu","RA Exposure","Dictionary","Ratio","A dictionary of exposure values to other milieus, used for the relative agreement model.","ra_exposure"
